fold,train_years,val_year,test_years,n_train,n_val,n_test,best_iter,val_auc,val_ap,test_auc,test_ap,test_ap_lift,test_brier_raw,test_brier_calibrated,test_pos_rate
F1,2009-2012,2013,2014-2015,1694334,143695,200360,18,0.9071450182248286,0.403715737879541,0.8792614342344794,0.45786640308509857,20.717730921890325,0.018912464380264282,0.014739323407411575,0.022100219604711518
F2,2009-2013,2014,2015-2016,1838029,102400,184770,3,0.8500014901041703,0.4099953819339883,0.8424292707585372,0.3552416298636094,17.30047336581421,0.01862488128244877,0.014927022159099579,0.02053363641283758
F3,2009-2014,2015,2016-2017,1940429,97960,171760,3,0.8763325513354094,0.5267217544166761,0.8143927514005461,0.20690600919552313,11.721034346775413,0.01652590185403824,0.0152788907289505,0.017652538425710292
F4,2009-2015,2016,2017-2018,2038389,86810,169134,372,0.8789454338551754,0.18858938705982448,0.880753504444446,0.26509741049980523,16.369837688015355,0.014005456119775772,0.014353933744132519,0.016194260172407677
F5,2009-2016,2017,2018-2019,2125199,84950,163932,221,0.8851011292591434,0.33028190025445786,0.7960411319389866,0.20787115530267694,6.546923003089036,0.030153056606650352,0.02921001799404621,0.031750969914354735
F6,2009-2017,2018,2019-2020,2210149,84184,158573,45,0.8581136396039184,0.28645727297416834,0.7487242744821015,0.24254254695432861,4.816618572096274,0.04822835698723793,0.0453113354742527,0.050355356838806105
F7,2009-2018,2019,2020-2021,2294333,79748,156847,396,0.8127299849530439,0.3711830736506402,0.7860744252182795,0.24044597052806596,5.066258616256793,0.04410432651638985,0.040601152926683426,0.04746026382398133
F8,2009-2019,2020,2021-2021,2374081,78825,78022,143,0.833433805987896,0.32659952174453377,0.8157526630612226,0.2788517718623615,6.309910946706836,0.03893871232867241,0.036765601485967636,0.04419266360770039
